Date,D_Emp,D_Net,N_Emp,N_Net,S_Emp,S_Net,St_Emp,St_Net,Sum_Net
1-Jan-17,50,12245551,382,281726113,47,13546548,44,72589129,380107341
1-Feb-17,50,8942469,386,257676974,47,13351761,43,77345791,357316995
1-Mar-17,50,10791623,386,349021352,47,28849899,44,97562683,486225557
1-Apr-17,50,10337099,395,267949832,48,11664038,44,67417215,357368184
1-May-17,49,9534929,395,312570535,48,17414395,44,53895066,393414925
1-Jun-17,49,14205400,396,349528758,49,22621668,44,103346570,489702396
1-Jul-17,49,7999009,394,243347568,48,14105411,44,65383365,330835353
1-Aug-17,50,9665269,400,327966769,52,24340514,44,68241172,430213724
1-Sep-17,50,11271432,402,307357037,51,26314233,44,93867290,438809992
1-Oct-17,51,12045462,423,323229716,51,22815458,44,62601910,420692546
1-Nov-17,51,11722263,424,340077807,49,25655526,44,70616279,448071875
1-Dec-17,50,19514448,423,307625180,48,27236917,44,135424766,489801311
1-Jan-18,48,10264339,414,298913239,44,20176935,41,64053405,393407918
1-Feb-18,49,10206017,417,324032474,46,26067519,41,54240568,414546578
1-Mar-18,50,13842128,422,358824931,47,27729359,41,142687488,543083906
1-Apr-18,51,8253519,432,306525280,47,22111854,41,83818353,420709006
1-May-18,52,14810860,438,326292204,47,13827696,40,86818284,441749044
1-Jun-18,52,18488813,434,374365715,50,24027520,41,127487491,544369539
1-Jul-18,52,14864015,428,325056409,50,23449811,41,60101725,423471960
1-Aug-18,52,16826785,430,368614360,49,22761346,41,78630777,486833268
1-Sep-18,52,15954405,432,298954103,51,16227972,41,88893247,420029727
1-Oct-18,51,10718554,446,330539628,51,22336848,41,97370966,460965996
1-Nov-18,51,21512240,447,401006636,49,30930584,40,87932451,541381911
1-Dec-18,51,12112686,446,332842095,57,31768458,41,157148742,533871981
1-Jan-19,48,18352257,420,354672798,52,23494605,41,84885905,481405565
1-Feb-19,48,15464665,424,300518151,53,22645227,41,88674717,427302760
1-Mar-19,48,11547604,425,299829594,53,19609286,41,101934996,432921480
1-Apr-19,49,13673271,424,326452773,55,22213277,41,87598831,449938152
1-May-19,49,11826018,439,313078441,57,23296994,41,67887372,416088825
1-Jun-19,48,16032600,433,329994216,57,23321342,41,114447853,483796011
1-Jul-19,48,13195394,434,308428895,56,21433131,41,101752185,444809605
1-Aug-19,48,17451812,431,366359078,55,24328591,41,128366291,536505772
1-Sep-19,48,10976826,429,351902125,56,33091629,41,102529391,498499971
1-Oct-19,48,9515088,427,264547540,56,15032794,41,143926971,433022393
1-Nov-19,48,13768921,427,326796825,56,21444933,41,441186027,803196706
1-Dec-19,48,21358882,426,355874728,64,27315755,41,208022339,612571704
1-Jan-20,54,11461508,428,301144394,59,19915570,48,66770927,399292399
1-Feb-20,54,11215986,429,289492606,59,20876246,47,93585146,415169984
1-Mar-20,55,12043979,429,399032938,60,26312388,49,129174781,566564086
1-Apr-20,54,16992787,421,288123293,60,20604438,49,81126089,406846607
1-May-20,56,11101003,420,277395230,57,23471672,47,108544704,420512609
,2061,542107916,17258,13167688340,2138,917740148,1749,4247889258,18875425662
